objectId,ra,dec,gmag,rmag,maggmean,magrmean,g_minus_r,clr_mean,dmdt_g,dmdt_r,distpsnr1,sgmag1,brightening_g,brightening_r,last_alert,classification,classificationReliability,catalogue_table_name,association_type,separationArcsec,description
ZTF18aalurns,146.46235981153848,-19.73395643846154,17.4446,17.484,17.601,17.6561,-0.5856,-0.0550994873046875,32.0769,0.0389847,0.768106,17.0847,0.35989952087402344,0.2560997009277344,22.445752299856395,CV,1,MILLIQUAS/RITTER/PS1,CV,0.93,"The transient is synonymous with <em><a href=""https://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?popupFrom=Query+Results&tablehead=name%3Dheasarc_milliquas%26description%3DMillion+Quasars+Catalog+%28MILLIQUAS%29%2C+Version+4.8+%2822+June+2016%29%26url%3Dhttp%3A%2F%2Fheasarc.gsfc.nasa.gov%2FW3Browse%2Fgalaxy-catalog%2Fmilliquas.html%26archive%3DN%26radius%3D1%26mission%3DGALAXY+CATALOG%26priority%3D5%26tabletype%3DObject&dummy=Examples+of+query+constraints%3A&varon=name&bparam_name=%3D%22J094551.01-194401.2%22&bparam_name%3A%3Aunit=+&bparam_name%3A%3Aformat=char25&varon=ra&bparam_ra=&bparam_ra%3A%3Aunit=degree&bparam_ra%3A%3Aformat=float8%3A.5f&varon=dec&bparam_dec=&bparam_dec%3A%3Aunit=degree&bparam_dec%3A%3Aformat=float8%3A.5f&varon=bmag&bparam_bmag=&bparam_bmag%3A%3Aunit=mag&bparam_bmag%3A%3Aformat=float8%3A4.1f&varon=rmag&bparam_rmag=&bparam_rmag%3A%3Aunit=mag&bparam_rmag%3A%3Aformat=float8%3A4.1f&varon=redshift&bparam_redshift=&bparam_redshift%3A%3Aunit=+&bparam_redshift%3A%3Aformat=float8%3A6.3f&varon=radio_name&bparam_radio_name=&bparam_radio_name%3A%3Aunit=+&bparam_radio_name%3A%3Aformat=char22&varon=xray_name&bparam_xray_name=&bparam_xray_name%3A%3Aunit=+&bparam_xray_name%3A%3Aformat=char22&bparam_lii=&bparam_lii%3A%3Aunit=degree&bparam_lii%3A%3Aformat=float8%3A.5f&bparam_bii=&bparam_bii%3A%3Aunit=degree&bparam_bii%3A%3Aformat=float8%3A.5f&bparam_broad_type=&bparam_broad_type%3A%3Aunit=+&bparam_broad_type%3A%3Aformat=char4&bparam_optical_flag=&bparam_optical_flag%3A%3Aunit=+&bparam_optical_flag%3A%3Aformat=char3&bparam_red_psf_flag=&bparam_red_psf_flag%3A%3Aunit=+&bparam_red_psf_flag%3A%3Aformat=char1&bparam_blue_psf_flag=&bparam_blue_psf_flag%3A%3Aunit=+&bparam_blue_psf_flag%3A%3Aformat=char1&bparam_ref_name=&bparam_ref_name%3A%3Aunit=+&bparam_ref_name%3A%3Aformat=char6&bparam_ref_redshift=&bparam_ref_redshift%3A%3Aunit=+&bparam_ref_redshift%3A%3Aformat=char6&bparam_qso_prob=&bparam_qso_prob%3A%3Aunit=percent&bparam_qso_prob%3A%3Aformat=int2%3A3d&bparam_alt_name_1=&bparam_alt_name_1%3A%3Aunit=+&bparam_alt_name_1%3A%3Aformat=char22&bparam_alt_name_2=&bparam_alt_name_2%3A%3Aunit=+&bparam_alt_name_2%3A%3Aformat=char22&Entry=&Coordinates=J2000&Radius=Default&Radius_unit=arcsec&NR=CheckCaches%2FGRB%2FSIMBAD%2BSesame%2FNED&Time=&ResultMax=1000&displaymode=Display&Action=Start+Search&table=heasarc_milliquas"">J094551.01-194401.2</a></em>; an r=17.13 mag AGN found in the MILLIQUAS/RITTER/PS1 catalogues. Its located 0.9"" (7.4 Kpc) from the AGN core. A host z=1.000 implies a <em>m - M =</em> 44.10."
ZTF20acodcxq,146.64363316428575,13.84937437857143,16.5781,16.8801,17.1844,17.2191,-0.2693,-0.03470039367675781,1.0573,0.584558,0.104651,17.4184,-0.8402996063232422,-2.625499725341797,22.442916699685156,CV,1,SDSS/GSC/PS1/RITTER/DOWNES,CV,0.01,"The transient is synonymous with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237671261204447399"">SDSS J094634.47+135057.8</a></em>; a V=17.23 mag CV found in the SDSS/GSC/PS1/RITTER/DOWNES catalogues. Its located 0.0"" from the CV core."
ZTF23aafvlyt,200.87839086428568,13.576683221428572,19.7,20.1751,19.7355,19.8335,0.300701,-0.09799957275390625,0.0156783,-0.00433115,15.9683,21.6223,-1.9222984313964844,-0.8031005859375,22.322071800008416,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF18abzvmhw,306.92292727499995,62.86877595833332,20.1977,19.7012,19.8654,19.3824,0.496477,0.4829998016357422,2.10472,42.5838,0.263143,-999.0,1019.1977005004883,1018.7012004852295,22.202997699845582,UNCLEAR,3,PS1,UNCLEAR,0.27,"The transient is possibly associated with <em>183443069229193281</em>; a g=23.93 mag uncertain found in the PS1 catalogue. Its located 0.26"" S, 0.07"" E from the uncertain centre."
ZTF23aajubsd,322.56324662500003,15.74904635,20.2734,20.0741,20.2239,20.1981,0.199341,0.025800704956054688,-0.0484929,0.126492,10.6078,17.9941,2.279298782348633,2.4940013885498047,22.178784700110555,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF18aabjjas,146.1319552,3.9680586,15.9596,17.286,16.8711,16.6731,0.4498,0.1979999542236328,0.474523,-0.538691,0.672707,17.0749,-1.1152992248535156,0.6743984222412109,20.459699099883437,CV,1,NED/SDSS/GSC/DOWNES/PS1/RITTER,CV,0.86,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=VZSex&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">VZSex</a></em>; a V=16.34 mag stellar source found in the NED/SDSS/GSC/DOWNES/PS1/RITTER catalogues. Its located 0.9"" (0.0 Kpc) from the stellar source core. A host z=0.000 implies a <em>m - M =</em> 23.11."
ZTF17aabhicw,146.64363239285714,13.849382107142857,16.5781,18.6738,17.1844,17.4761,-0.2693,-0.2917003631591797,1.0573,-0.904205,0.419175,17.4184,-0.8402996063232422,-0.8318004608154297,20.45922449976206,CV,1,SDSS/GSC/PS1/RITTER/DOWNES,CV,0.23,"The transient is synonymous with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237671261204447399"">SDSS J094634.47+135058.0</a></em>; a V=17.23 mag CV found in the SDSS/GSC/PS1/RITTER/DOWNES catalogues. Its located 0.2"" from the CV core."
ZTF23aagxkvz,144.94381305,20.084336599999997,19.3508,19.7778,19.8341,19.9224,-0.0612011,-0.08829879760742188,0.080286,-0.0357249,15.8434,22.1244,-2.773599624633789,-1.610300064086914,20.458761599846184,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF23aahpwpj,144.45857339999998,37.97420773571429,19.6808,19.8226,19.9076,19.9641,-0.0634003,-0.056499481201171875,-0.0138101,0.0786318,13.3741,17.578,2.1028003692626953,2.7593994140625,20.402789399959147,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF22abgbebr,130.8210585137931,80.02019729655173,19.7814,19.9353,20.0029,19.8349,-0.132399,0.167999267578125,1042.14,0.104117,0.327889,20.9031,-1.1216983795166016,-0.7032985687255859,20.368449099827558,UNCLEAR,3,GSC,UNCLEAR,0.18,"The transient is possibly associated with <em>N7AP002193</em>; an unknown-mag unclassified source found in the GSC catalogue. Its located 0.18"" S, 0.03"" E from the objects source centre."
