objectId,ra,dec,gmag,rmag,maggmean,magrmean,g_minus_r,clr_mean,dmdt_g,dmdt_r,distpsnr1,sgmag1,brightening_g,brightening_r,sgscore1,last_alert,classification,classificationReliability,catalogue_table_name,separationArcsec,physical_separation_kpc,direct_distance,distance,z,photoZ,major_axis_arcsec,tns_prefix,association_type,description
ZTF23aauidyk,309.141469475,-4.99606705,19.3778,18.6465,18.6208,18.6465,-0.180799,-0.025699615478515625,-0.229745,,6.37326,22.1829,-2.8050994873046875,-2.6471996307373047,0.356167,35.20891199214384,UNCLEAR,3,SDSS/PS1,0.38,0.0,0.0,0.0,0.0,0.0,3.82,AT,UNCLEAR,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237652600633558862"">SDSS J203633.94-045945.8</a></em>; an r=23.74 mag uncertain found in the SDSS/PS1 catalogues. Its located 0.39"" N, 0.05"" W from the uncertain centre."
ZTF23aavenbh,28.138135807692308,33.72946259230769,20.7785,20.5342,20.4307,20.5135,0.0381985,-0.08279991149902344,-0.0416535,-0.333029,2.06271,22.0735,-1.2950000762939453,-1.3386993408203125,0.00208333,23.12276619207114,SN,2,SDSS/PS1,1.75,0.0,0.0,0.0,0.0,0.34,4.36,AT,SN,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237678894965654361"">SDSS J015233.10+334344.5</a></em>; an r=21.85 mag galaxy found in the SDSS/PS1 catalogues. Its located 1.55"" N, 0.80"" E from the galaxy centre."
ZTF23aauzyhr,212.92848828888887,31.248494188888888,18.5756,18.2001,18.3787,18.3653,9.91821e-05,0.013401031494140625,-0.0685445,-0.00141766,2.75544,20.4609,-1.8852996826171875,-2.0093994140625,,19.30649309186265,SN,2,SDSS/PS1,2.65,0.0,0.0,0.0,0.0,0.08,10.62,AT,SN,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237665101673660608"">SDSS J141142.92+311452.2</a></em>; an r=19.22 mag galaxy found in the SDSS/PS1 catalogues. Its located 2.38"" N, 1.15"" W from the galaxy centre."
ZTF23aauyurk,3.9516468600000003,-10.10628224,20.11,19.8678,20.3328,19.9674,0.1847,0.3654003143310547,0.0475078,0.0198604,7.19005,21.7126,-1.60260009765625,-1.4118003845214844,0.0469167,29.091944491956383,SN,2,NED/SDSS/2MASS/PS1,11.68,25.97,0.0,579.13,0.12,0.1,0.0,AT,SN,"The transient is possibly associated with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=2MASXJ00154911-1006277&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">2MASXJ00154911-1006277</a></em>; a J=14.39 mag galaxy found in the NED/SDSS/2MASS/PS1 catalogues. Its located 5.46"" N, 10.53"" W (26.0 Kpc) from the galaxy centre. A host z=0.124 implies a <em>m - M =</em> 38.81."
ZTF23aaumnmj,358.51268897,-8.367511660000002,20.1413,19.9041,20.0237,20.1546,0.237158,-0.13089942932128906,-0.0373239,-0.00272801,2.57772,22.0159,-1.8745994567871094,-2.1471004486083984,0.5,29.09100699191913,SN,2,SDSS/PS1,4.29,0.0,0.0,0.0,0.0,0.21,10.62,AT,SN,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237680262389039482"">SDSS J235403.15-082206.9</a></em>; an r=20.18 mag galaxy found in the SDSS/PS1 catalogues. Its located 3.89"" N, 1.82"" W from the galaxy centre."
ZTF23aasypes,354.9921129833333,44.71440140833334,20.527,20.358,20.2411,20.2109,0.16902,0.030200958251953125,-0.100202,-0.0499614,10.1216,21.438,-0.9109992980957031,-0.5415992736816406,0.824315,36.06600699201226,ORPHAN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT,0,No contexual information is available for this transient
ZTF23aasynce,327.110669525,37.78347579166667,20.2134,20.1337,20.5063,20.1438,0.448601,0.3624992370605469,0.0176869,-0.0318962,8.53057,-999.0,1019.213399887085,-1.875600814819336,0.967792,22.208738392218947,ORPHAN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT,0,No contexual information is available for this transient
ZTF23aaukvio,334.01802233636363,-2.4699611363636365,19.9085,20.1533,20.0222,20.11,0.0889015,-0.08780097961425781,-0.00119192,-0.0672971,11.438,-999.0,1018.9085006713867,-1.712900161743164,0.924875,23.196145792026073,SN,2,2MASS,32.79,0.0,0.0,0.0,0.0,0.0,0.0,AT,SN,"The transient is possibly associated with <em>22160638-0228011</em>; a J=14.95 mag galaxy found in the 2MASS catalogue. Its located 10.68"" S, 31.00"" W from the galaxy centre."
ZTF23aaveesd,36.23789146666667,12.277790133333333,20.9998,20.7612,20.9998,20.6801,0.4007,0.3197002410888672,,-0.0081105,1.58612,21.6422,-0.6424007415771484,1019.7611999511719,0.5,18.084606491960585,SN,2,SDSS/PS1,3.68,0.0,0.0,0.0,0.0,0.21,9.41,AT,SN,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237649953336918276"">SDSS J022457.22+121643.0</a></em>; an r=19.39 mag galaxy found in the SDSS/PS1 catalogues. Its located 2.97"" S, 2.19"" W from the galaxy centre."
ZTF23aaveoxd,29.96524373333333,44.25440556,20.2115,19.6655,19.9035,19.6364,0.578899,0.26709938049316406,-0.0823556,-0.0367788,0.356269,20.7655,-0.5539989471435547,-0.5501995086669922,0.5,6.16386569198221,SN,2,2MASS,34.22,0.0,0.0,0.0,0.0,0.0,0.0,AT,SN,"The transient is possibly associated with <em>01595443+4415327</em>; a J=14.95 mag galaxy found in the 2MASS catalogue. Its located 16.75"" S, 29.84"" W from the galaxy centre."
ZTF23aaqsmyk,252.49882333,4.888159270000001,20.1543,20.1875,20.048,20.111,-0.1663,-0.06299972534179688,-0.160366,-0.0566274,5.96352,-999.0,1019.1543006896973,-1.0077991485595703,0.0972857,48.19473379198462,SN,2,SDSS/2MASS/PS1,7.38,0.0,0.0,0.0,0.0,0.15,0.0,AT,SN,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237662199368253677"">SDSS J164959.3+045322.0</a></em>; a J=14.78 mag galaxy found in the SDSS/2MASS/PS1 catalogues. Its located 4.57"" S, 5.79"" E from the galaxy centre."
ZTF23aavjtgn,280.4644996666667,25.25039775,19.8714,19.6651,19.7422,19.4946,0.206322,0.24760055541992188,-0.0664149,-0.0904616,2.06699,20.33,-0.4585990905761719,0.23600006103515625,0.969167,21.20590279204771,VS,2,GAIA/PS1,1.88,0.0,0.0,0.0,0.0,0.0,0.0,AT,VS,"The transient is possibly associated with <em>4536156583281392896</em>; a G=19.50 mag stellar source found in the GAIA/PS1 catalogues. Its located 2.06"" N, 0.24"" W from the stellar source centre."
ZTF23aavmgln,21.273244299999998,36.021154225000004,20.5425,20.5887,20.6059,20.5887,0.0685005,0.017200469970703125,0.025376,,1.83848,21.6752,-1.132699966430664,-1.4838008880615234,0.003125,36.08416669210419,SN,2,PS1,1.84,0.0,0.0,0.0,0.0,0.0,5.69,AT,SN,"The transient is possibly associated with <em>151220212728506608</em>; an r=21.54 mag galaxy found in the PS1 catalogue. Its located 1.65"" S, 0.80"" E from the galaxy centre."
