oid_ztf,ra,dec,ra_error,dec_error,parallax,parallax_error,pm,pmra_error,pmdec_error,nu_eff_used_in_astrometry,astrometric_sigma5d_max,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,bp_g,g_rp,l,b,ecl_lon,ecl_lat,distance,absmag_g,absmag_bp,absmag_rp
ZTF18abxrjhk,334.7944583,35.76375,0.04542077,0.051890332,0.8918434765725871,0.07069008,2.4604313,0.06252531,0.07006887,1.6627774,0.1000304,413.0,3099.0096350683607,43.17869,16.959309,46.0,1912.5707478192674,95.77603,17.134499,44.0,1697.7734048455736,64.25826,16.673197,0.4613018,0.17518997,0.28611183,91.27644235109504,-17.582155892170455,353.4291124151043,42.35125772669073,1121.2729882188135,6.710751824255501,6.885941796179329,6.424639992590462
ZTF18aaxayyj,298.2374583,22.68786111,0.16594845,0.22193223,0.15169048515909203,0.32886305,9.030777,0.27457106,0.3619048,,0.54149485,469.0,198.83876250095813,7.215965,19.941114,29.0,169.75757849927004,26.335863,19.76397,30.0,304.46161824541497,36.758965,18.539064,1.224905,-0.177145,1.40205,60.012291173471034,-2.399769854527233,306.38854812827253,42.625564126789136,6592.371294423683,5.845906127466989,5.668761123194528,4.443856109156442
ZTF18acpgdli,78.87095833,56.09227778,0.11508356,0.06298478,2.1137627848873075,0.10482941,1.7378682,0.101024985,0.094511956,1.5244937,0.1868215,606.0,861.5690020875869,7.843726,18.349142,62.0,431.80847813411765,13.764008,18.750315,61.0,638.5842066038584,19.820879,17.73485,1.0154648,0.40117264,0.61429214,154.1174337635741,10.171175283120771,82.62867277481625,32.93741957405842,473.08998301496433,9.974423311591995,10.375595949531448,9.360131166816604
ZTF18aaadsqs,30.47466667,56.73430556,0.06896449,0.10525783,0.27860363654587994,0.12746958,4.84753,0.09935947,0.14047591,1.6028073,0.19744565,455.0,1063.9286345888042,6.881743,18.120085,48.0,625.1413732615548,14.038412,18.348597,51.0,637.9432528492448,22.175201,17.73594,0.61265564,0.22851181,0.38414383,132.5211790348353,-4.81989570205229,51.192831764154555,41.032214320950075,3589.328597422388,5.345018666902082,5.573530477204816,4.9608748375563785
ZTF18acwywfz,203.9198333,5.122972222,0.18890403,0.15322109,0.45410881151525995,0.2244215,9.291266,0.25481585,0.16862562,1.7188426,0.36096063,404.0,469.1114395385974,4.9865675,19.009176,42.0,335.2740829085879,14.802777,19.025042,37.0,222.7900834107272,13.351883,18.878157,0.14688492,0.015865326,0.13101959,330.48300899196875,65.60008177500323,200.20061377840992,14.0378321457873,2202.1153843353595,7.294975899378777,7.310841225306511,7.1639563070936205
ZTF18abwdzax,301.8350833,18.42325,0.35285303,0.23222913,0.8328821239031162,0.41677365,14.186059,0.6457003,0.341469,1.6086025,0.91698533,328.0,193.42248343906363,1.6147435,19.9711,38.0,123.22595847351052,5.9828944,20.111786,41.0,132.56322059398582,10.370599,19.441837,0.6699486,0.14068604,0.52926254,58.11887742949923,-7.495902113412848,309.1907046119036,37.631014296138225,1200.6500935735337,9.57401755826343,9.71470359341968,9.04475501553882
ZTF18aabnrpx,121.0332083,8.620722222,0.35636353,0.25763807,-0.6618485761138533,0.42603084,2.3476896,0.47237745,0.33624598,,0.65935135,367.0,209.00521562930027,2.9348273,19.886974,36.0,93.84990427936691,7.937692,20.407457,39.0,173.73364192135296,9.795354,19.148186,1.2592716,0.520483,0.7387886,213.37174450443658,20.047495262045935,121.34320877737792,-11.505841174229616,-1510.9196213303885,,,
ZTF19abfeebc,268.2407917,-18.79080556,0.110371,0.0931399,0.4827983772423151,0.1226086,1.2991209,0.13847604,0.10039508,1.474618,0.19408141,282.0,1114.2182214333725,5.785189,18.06994,15.0,498.5043135137982,13.1079645,18.59437,16.0,864.9982402691464,20.29398,17.405357,1.1890125,0.5244293,0.6645832,9.573255318703042,3.7710145348145194,268.3291103990899,4.638265978218779,2071.2579974105897,6.488769575511299,7.013198896800361,5.824186369334541
ZTF18abbxjwb,278.3873333,-3.106444444,0.1285722,0.13391413,1.3600439472829513,0.1747093,2.7899413,0.17287739,0.16236593,,0.26370713,234.0,903.8255323049887,7.6257496,18.297155,24.0,231.8379849168083,9.347641,19.425581,24.0,1087.0459365066263,25.110031,17.157276,2.2683048,1.1284256,1.1398792,28.123980511753842,2.555323411449321,278.9208659977606,20.073461947424356,735.2703579893615,8.964920090313758,10.093345688458289,7.825040863629187
ZTF17aaagrsl,22.632875,62.35897222,0.049525063,0.057246357,1.2539534828509722,0.07957673,4.357437,0.05778837,0.078263685,1.5402341,0.1194504,598.0,1666.8380235422765,39.94988,17.632633,68.0,993.2754861960029,59.53308,17.845867,66.0,1461.5420114041085,90.243355,16.835867,1.0100002,0.21323395,0.7967663,127.44885683824653,-0.16941405698525475,50.32222104638838,47.88116313715537,797.4777483183931,8.12404033940597,8.337274287159877,7.327274058278041
