Name,AUID,Coords,Const,Type,Period,Mag,ra,dec,Xmatch_obj,separation
AW Sge,000-BCJ-957,19 58 37.07 +16 41 28.3,Sge,UGSU,0.0724,14.0 - <19.6 V,299.65445833333325,16.691194444444445,ZTF18abjhdua,0.26872346148111487
ET Sge,000-BCW-959,20 09 06.30 +17 43 40.7,Sge,UG,--,16.0 - 21.5 B p,302.27624999999995,17.72797222222222,ZTF19aaqaujg,0.07370198219640704
GL Sge,000-BFD-471,20 07 09.37 +18 51 38.0,Sge,UGSU,--,15.3 - 20.3 V,301.78904166666666,18.860555555555557,ZTF19acencdn,0.2109384252470989
HM Sge,000-BCH-656,19 41 57.07 +16 44 39.6,Sge,NC+M,535,11.1 - 18.1 B,295.4877916666666,16.744333333333334,ZTF18absnilt,0.0525214456648347
ASASSN-18wj,000-BMV-311,19 51 38.88 +18 04 18.3,Sge,UG,--,16.5 - 19.9 V,297.912,18.07175,,
ASASSN-18zb,000-BMW-152,19 57 12.21 +18 49 41.0,Sge,UG,--,15.7 - 21.1 g,299.30087499999996,18.828055555555554,ZTF18adkgfuz,0.06920687280644772
ASASSN-19rs,000-BNF-080,20 16 16.71 +18 22 25.4,Sge,UG,--,14.8 - <22 g,304.069625,18.373722222222224,ZTF19abgsssu,0.08270171753737193
ASASSN-19ve,000-BNG-355,20 14 19.95 +16 39 39.9,Sge,UG,--,16.8 - 21.0 g,303.58312499999994,16.66108333333333,ZTF18abnbmkv,0.14201825941155882
ASASSN-21hp,000-BNZ-191,20 09 11.40 +19 08 11.4,Sge,UG,--,15.9 - 21.9 g,302.2974999999999,19.136499999999998,ZTF21aazmjby,1.1036524770611285
ASASSN-22kj,000-BPL-054,19 26 00.33 +17 42 51.6,Sge,UG,--,16.3 - 23.2: g,291.50137499999994,17.714333333333332,ZTF22abbmezq,0.020846068559187744
ATLAS17jsu,000-BML-069,20 12 54.90 +16 12 41.3,Sge,UG,--,17.0 - <22 CR,303.22875,16.21147222222222,,
BMAM-V632,000-BNL-439,19 25 33.12 +16 39 10.5,Sge,UGSS,--,18.3 - 21.3 r,291.388,16.652916666666666,ZTF18adjueci,0.22912128921061334
BMAM-V719,000-BNP-602,20 09 39.52 +20 40 21.2,Sge,UG,--,19.2 - 22.4 g,302.4146666666666,20.672555555555558,ZTF18abnvuce,0.044646402842828406
Gaia16ayn,000-BLY-921,19 03 45.19 +20 48 04.2,Sge,UG,--,18.3 - <22 G,285.93829166666666,20.801166666666667,,
Gaia17bpg,000-BMJ-250,19 10 03.64 +19 51 19.1,Sge,UG,--,18.7 - <22 G,287.51516666666663,19.855305555555557,ZTF18abmpbjy,0.21261123832118295
Gaia17brd,000-BMJ-526,20 15 08.25 +20 40 31.3,Sge,UG,--,16.9 - 21.9 g,303.784375,20.675361111111112,ZTF19abyvauj,0.1587291730847987
Gaia17cnz,--,20 14 29.50 +19 07 13.1,Sge,UG,--,17.8 - 20.4 G,303.62291666666664,19.120305555555557,ZTF18acxhfkq,0.2018060850403284
Gaia19bsg,000-BNC-419,20 09 19.69 +21 33 35.7,Sge,UG,--,18.5 - 24: g G,302.3320416666666,21.559916666666666,ZTF19aaqsiil,0.10700314828177503
Gaia19bsw,000-BNC-476,19 51 57.72 +16 40 25.0,Sge,UG,--,18.6 - 24: g G,297.9905,16.67361111111111,,
Gaia20cow,000-BNN-136,19 41 37.88 +18 06 16.7,Sge,UG,--,16.9 - 20.9 G,295.40783333333326,18.10463888888889,ZTF18abgsgta,0.0757250539559767
Gaia20cwe,000-BNN-928,19 16 36.70 +19 58 51.1,Sge,UG,--,17.8 - 21.0 G,289.1529166666666,19.98086111111111,ZTF18abcfyaw,0.03726523920347172
Gaia20cwt,000-BNN-945,20 08 16.98 +19 10 34.6,Sge,UG,--,18.0 - 21.1 G,302.07075,19.17627777777778,ZTF18aboqucf,0.21096081667280253
Gaia20frv,000-BNS-723,20 05 09.45 +20 00 27.3,Sge,NL/VY,--,18.4 - 21.1 G,301.2893749999999,20.007583333333333,,
Gaia21cqg,000-BNZ-747,19 57 51.91 +17 11 14.8,Sge,UG,--,17.9 - 21.6 r,299.4662916666666,17.187444444444445,,
Gaia21fke,000-BPF-758,20 03 48.56 +16 29 59.8,Sge,NL/VY,--,18.1 - 20.5 g,300.95233333333334,16.499944444444445,ZTF18abmqahr,0.4305433459563851
Gaia22axf,000-BPH-674,20 16 30.83 +16 55 38.7,Sge,UG,--,17.1 - <21 G,304.1284583333333,16.92741666666667,ZTF22aaauclx,0.2818160799700591
Gaia22baz,000-BPJ-869,19 42 45.00 +17 27 06.1,Sge,NL,--,16.2 - 17.8 G,295.68749999999994,17.451694444444446,ZTF18aawutcg,0.2217885056401161
Gaia22cmi,000-BPK-285,20 09 09.82 +19 38 02.5,Sge,UG,--,18.0 - 22: g,302.2909166666666,19.634027777777778,ZTF18adkiaim,0.13319656956960332
MASTER OT J195321.61+181050.3,000-BND-864,19 53 21.61 +18 10 50.4,Sge,UG,--,16.6 - 21.1 r CR,298.3400416666666,18.180666666666667,ZTF19abexjaf,0.0690018149548126
MASTER OT J200756.96+204158.1,000-BPD-986,20 07 57.08 +20 41 57.4,Sge,UG,--,16.2 - 21.5 r,301.98783333333336,20.699277777777777,ZTF18admcdky,0.07769546584963412
MASTER OT J201013.27+203202.6,000-BLP-940,20 10 13.27 +20 32 02.0,Sge,UG,--,16.4 - 19.9 B CR,302.5552916666667,20.53388888888889,ZTF18abmegbi,0.35064474296841036
MGAB-V1283,000-BNS-700,20 18 15.49 +18 28 23.9,Sge,NL+E,0.1229202,17.3 - 19.8 g,304.5645416666666,18.473305555555555,ZTF18abtnubo,0.21652965479302208
MGAB-V317,--,19 54 46.07 +18 37 57.3,Sge,UGSS,--,16.6 - 21.4 g,298.6919583333333,18.632583333333333,ZTF18aazfbvg,0.05692359314684845
MGAB-V3621,--,19 05 33.21 +18 07 09.6,Sge,UG,--,18.7 - 21.5 r,286.38837499999994,18.119333333333334,,
MGAB-V3672,--,20 01 11.07 +19 38 52.4,Sge,NL/VY,--,17.8 - 20.6 g,300.29612499999996,19.64788888888889,ZTF18acehxdu,0.3371430081960901
MGAB-V3675,--,20 06 08.78 +19 13 44.9,Sge,CV,--,18.3 - 21.1 g,301.53658333333334,19.229138888888887,ZTF18abvicmn,0.2452713227718758
MGAB-V3676,--,20 07 29.57 +17 58 56.1,Sge,UG,--,19.3 - 21.3 r,301.8732083333333,17.982249999999997,ZTF19aasmcru,0.018441510759034434
MGAB-V3679,--,20 08 53.53 +20 39 16.8,Sge,UG,--,18.1 - 21.7 g,302.2230416666666,20.654666666666664,ZTF19abwavud,0.10077422758135282
MGAB-V369,--,19 16 35.56 +19 25 08.0,Sge,UGER,--,17.9 - 21.8 g,289.1481666666666,19.41888888888889,ZTF18aavllfm,0.14563086147714502
MGAB-V519,--,19 39 07.16 +16 41 07.9,Sge,UGER,--,18.3 - 21.3 r,294.7798333333333,16.68552777777778,ZTF18aaynvde,0.11263756472254502
MGAB-V538,--,20 19 37.22 +21 29 59.9,Sge,NL/VY,--,16.6 - 20.6 r,304.90508333333327,21.499972222222222,ZTF18abmplsh,0.3566153550861766
MGAB-V818,--,19 37 48.53 +16 50 39.5,Sge,UGZ,--,18.7 - 21.5 g,294.4522083333333,16.844305555555554,ZTF18aaxujwc,0.050969643129182965
MGAB-V862,--,19 50 40.20 +18 25 19.3,Sge,UGZ,--,18.6 - 21.1 g,297.66749999999996,18.422027777777778,ZTF18abdkuny,0.1980018710744769
MGAB-V863,--,19 50 40.48 +19 05 16.3,Sge,UG,--,18.9 - 21.6 g,297.6686666666666,19.08786111111111,ZTF18abdawgd,0.078361352683707
MGAB-V875,--,19 56 25.71 +20 41 36.5,Sge,UG,--,18.6 - 21.7 g,299.10712499999994,20.693472222222223,ZTF18aawbnbc,0.07854197840015202
MGAB-V877,--,19 58 21.42 +18 20 45.9,Sge,UG,--,19.5 - 21.7 g,299.58924999999994,18.346083333333333,ZTF18abtnvdv,0.17181863193748298
MGAB-V886,--,20 04 58.30 +20 37 21.4,Sge,UG,--,19.0 - 21.5: g,301.24291666666664,20.622611111111112,ZTF18abnwwoc,0.09236110519845102
MGAB-V894,--,20 06 09.66 +18 10 14.5,Sge,UG,--,17.7 - 21.6 g,301.54025,18.170694444444447,ZTF18abmpksk,0.05115465151651435
MGAB-V920,--,20 11 11.03 +16 19 55.1,Sge,UGSU,--,16.3 - 21.2 g,302.7959583333333,16.331972222222223,ZTF18acswncz,0.21075920820093932
MGAB-V937,--,20 16 28.18 +16 53 31.1,Sge,UG,--,18.1 - 21.6 g,304.1174166666666,16.891972222222222,ZTF18admptyf,0.07997229885233392
MGAB-V940,--,20 17 44.69 +20 04 17.6,Sge,UG,--,18.5 - 21.5 g,304.43620833333335,20.071555555555555,ZTF18abmknfm,0.040775714503346334
RAT J1953+1859,000-BKQ-494,19 53 27.16 +18 59 14.4,Sge,UGSU,0.06,15.6 - 20.5 V G,298.36316666666664,18.987333333333336,,
TCP J20002413+1959394,000-BPN-900,20 00 24.11 +19 59 39.9,Sge,UG,--,12.8 - 21.5 r CR,300.1004583333333,19.994416666666666,ZTF23aacteoa,0.06261368935703363
ZTF18aaudyvk,--,19 00 22.53 +19 38 04.5,Sge,NL/VY,--,17.5 - 21.8 r,285.09387499999997,19.63458333333333,ZTF18aaudyvk,0.21154216183785365
ZTF18aavefrt,--,19 10 20.91 +20 18 20.6,Sge,UGZ/IW,--,18.1 - 19.4 g,287.587125,20.305722222222222,ZTF18aavefrt,0.2013843372751874
ZTF18aawboie,--,19 45 27.91 +19 08 55.4,Sge,UGZ/IW,--,16.9 - 19.1 g,296.36629166666665,19.148722222222222,ZTF18aawboie,0.2807245140172987
ZTF18aawugxb,--,19 10 45.16 +18 51 07.8,Sge,UG,--,17.1 - 20.8 r,287.68816666666663,18.85216666666667,ZTF18adkbhsd,0.09582490080892803
ZTF18aawuhuo,--,19 09 21.02 +20 39 53.0,Sge,UGZ/IW,--,18.1 - 21.2 r,287.33758333333327,20.66472222222222,ZTF18aawuhuo,0.03826582623086799
ZTF18aaxijxv,--,19 57 32.83 +20 18 34.7,Sge,UG,--,17.2 - 22.7 r,299.3867916666666,20.30963888888889,ZTF18adkefab,0.05472362737402483
ZTF18aayvcxb,--,19 43 17.07 +17 48 22.2,Sge,NL/VY,--,16.4 - 19.9 g,295.82112499999994,17.806166666666666,ZTF18aayvcxb,0.36888143804261664
ZTF18aazvbyj,--,19 43 32.98 +16 31 06.8,Sge,UGSU,--,17.8 - 21.6 g,295.88741666666664,16.518555555555555,ZTF18aazvbyj,0.11622866904393633
ZTF18abgrsom,--,19 35 14.95 +18 13 05.6,Sge,UG,--,16.8 - 21.8 r,293.8122916666666,18.21822222222222,ZTF18abgrsom,0.06879614589836096
ZTF18abkoidw,--,20 08 32.91 +21 06 09.1,Sge,UG,--,17.6 - 22.5 r,302.13712499999997,21.10252777777778,ZTF18abkoidw,0.06054260570534122
ZTF18abmprgc,--,20 03 27.61 +20 04 22.0,Sge,UG,--,17.4 - 19.5 g,300.8650416666667,20.072777777777777,ZTF18abmprgc,1.8951786703721516
ZTF18abmqwyy,--,19 57 14.02 +20 59 38.3,Sge,NL/VY,--,18.6 - 21.2 g,299.30841666666663,20.993972222222222,ZTF18abmqwyy,0.23131663623965873
ZTF18abojowg,--,19 50 56.15 +18 29 46.3,Sge,UG,--,16.1 - 21.6: g,297.7339583333333,18.496194444444445,ZTF18abojowg,0.018441510759034434
ZTF18aborosz,--,20 14 43.62 +17 11 38.9,Sge,UG,--,17.7 - 20.4 r,303.68174999999997,17.19413888888889,ZTF18aborosz,0.055153513221013466
ZTF18absaqpm,--,20 15 22.98 +21 27 02.8,Sge,UG,--,17.4 - 22.7 g,303.84574999999995,21.450777777777777,ZTF18adnbvoi,0.03338768055024972
ZTF18absbapt,000-BPM-327,20 11 46.59 +20 42 17.6,Sge,UG,--,19.2 - 21.5 g,302.944125,20.70488888888889,ZTF18absbapt,0.24176047702914036
ZTF18absnizy,--,20 10 07.18 +20 15 29.1,Sge,UG,--,17.1 - 22.4 g,302.5299166666667,20.25808333333333,ZTF18adnggua,0.05928116308840758
ZTF18abwdzax,--,20 07 20.42 +18 25 23.7,Sge,UG,--,16.8 - 20.5 r,301.83508333333333,18.42325,ZTF18abwdzax,0.3591099837214047
ZTF19abfluea,--,20 02 54.78 +19 17 50.4,Sge,UG,--,17.4 - 22.9: g,300.72825,19.297333333333334,ZTF19abfluea,0.05847894528644991
ZTF19abrrkma,--,20 05 06.68 +16 20 18.5,Sge,UG,--,16.4 - 20.6 g,301.27783333333326,16.338472222222222,ZTF19abrrkma,0.09567690859581146
ZTF20abpxvhj,--,20 14 03.82 +17 52 35.1,Sge,UG,--,16.7 - <23 g,303.5159166666666,17.876416666666668,ZTF20abpxvhj,0.13277033945408004
ZTF20acmhpvd,--,20 13 57.07 +18 41 22.4,Sge,UG,--,16.8 - 21.8 g,303.48779166666657,18.689555555555557,ZTF20acmhpvd,0.07653165246173631
BS Sgr,000-BCC-340,18 26 46.39 -27 08 21.6,Sgr,NB,--,9.2 - 17.9 V p,276.69329166666665,-27.139333333333333,,
HS Sgr,000-BCC-399,18 28 03.53 -21 34 25.4,Sgr,NB,--,10.0: - 16.5 p,277.0147083333333,-21.573722222222223,,
V0726 Sgr,000-BFF-219,18 19 33.67 -26 53 19.7,Sgr,NA+ELL,0.822812,10.5 - 19.4 V,274.89029166666666,-26.888805555555557,,
V0729 Sgr,000-BCX-017,19 16 49.10 -26 14 33.7,Sgr,UG+E,0.1734055,13.0 - 16.2 V,289.2045833333333,-26.242694444444446,ZTF18abbxzqg,0.09282023531131689
V0730 Sgr,000-BCG-529,19 23 00.98 -28 29 37.1,Sgr,UG,--,12.8 - <17.5 p,290.7540833333333,-28.49363888888889,,
V0737 Sgr,000-BCX-020,18 07 08.96 -28 44 52.9,Sgr,N,--,9.5: - <13.0 p,271.78733333333327,-28.74802777777778,,
V0759 Sgr,000-BCX-024,17 50 19.68 -27 25 02.0,Sgr,NL,--,13.6 - 16.0 p,267.58199999999994,-27.41722222222222,,
V0928 Sgr,000-BFS-736,18 19 00.31 -28 06 01.6,Sgr,NB,--,8.9 p - 20.5 B,274.75129166666665,-28.100444444444445,,
V0999 Sgr,000-BDB-737,18 00 05.69 -27 33 13.8,Sgr,NB,0.1518412,7.8: - 17.4 B,270.02370833333333,-27.553833333333333,,
V1014 Sgr,000-BCB-284,18 06 45.88 -27 26 16.4,Sgr,NB,--,10.8 - <16.1 p,271.6911666666666,-27.43788888888889,,
V1017 Sgr,000-BCC-576,18 32 04.47 -29 23 12.6,Sgr,NA+UG,5.78629,6.4 - 15.1 B,278.018625,-29.386833333333332,,
V1037 Sgr,000-BFF-499,18 56 25.24 -19 16 22.9,Sgr,UGZ/IW,--,13.3 - 17.5: V,284.10516666666666,-19.273027777777777,,
V1089 Sgr,000-BCX-039,19 08 46.31 -17 21 48.8,Sgr,UGSS,--,13.8 - 17.0: p,287.19295833333325,-17.363555555555557,ZTF19abeemqu,0.11659384991282254
V1148 Sgr,000-BCX-040,18 09 05.82 -25 59 07.6,Sgr,N,--,8.0 - <16.0 p,272.27424999999994,-25.985444444444447,ZTF23aamuaan,0.5803381273584198
V1150 Sgr,000-BFF-605,18 18 55.39 -24 05 31.7,Sgr,NB,--,12.0 p - <22.0 j,274.7307916666667,-24.092138888888886,,
V1172 Sgr,000-BCX-042,17 50 23.66 -20 40 29.9,Sgr,N,--,9.0 - 18.0 V p,267.5985833333333,-20.674972222222223,,
V1174 Sgr,000-BFF-626,18 01 37.03 -28 44 19.0,Sgr,N+ELL,0.3090452,12.0: - 18.7 Ic p,270.4042916666666,-28.738611111111112,,
V1274 Sgr,000-BFF-712,17 48 55.53 -17 52 00.6,Sgr,NB,--,9.5 - <13.0 p,267.231375,-17.866833333333332,,
V1310 Sgr,000-BFF-745,18 34 58.90 -30 04 10.0,Sgr,NB,--,11.7 - <20 p,278.7454166666666,-30.069444444444443,,
V1830 Sgr,000-BCB-675,18 13 50.95 -27 42 21.1,Sgr,UG,--,11.5 - 18.0 V,273.4622916666666,-27.705861111111112,,
V1944 Sgr,000-BCX-065,18 00 36.85 -27 17 14.5,Sgr,N,--,7.0: - 15 p,270.1535416666666,-27.287361111111114,,
V3645 Sgr,000-BCX-080,18 35 49.33 -18 41 44.2,Sgr,NB,--,8.0: - 18.7 g p,278.9555416666666,-18.695611111111113,,
V3890 Sgr,000-BCC-531,18 30 43.29 -24 01 08.9,Sgr,NR+E,103.14,7.1 - 18.4 V,277.68037499999997,-24.01913888888889,ZTF19adcppgc,0.13614282166026942
V3941 Sgr,000-BCX-093,18 25 58.01 -29 25 37.2,Sgr,UG,--,11.5 - 19.9 g p,276.4917083333333,-29.427,,
V4027 Sgr,000-BFJ-337,18 02 29.32 -28 45 19.9,Sgr,NB,--,11.0: - <16.3 V,270.62216666666666,-28.75552777777778,,
V4049 Sgr,000-BCX-102,18 20 38.60 -27 56 25.0,Sgr,N,--,12 - <20.0 V,275.16083333333324,-27.940277777777776,,
V4077 Sgr,000-BCC-729,18 34 39.47 -26 26 02.7,Sgr,N,--,8 - <20.0 V,278.6644583333333,-26.434083333333334,,
V4121 Sgr,000-BFJ-418,18 07 54.96 -28 49 27.3,Sgr,N,--,9.5 - <19.0 p,271.9789999999999,-28.82425,,
V4332 Sgr,000-BCD-402,18 50 36.70 -21 23 28.9,Sgr,V838MON,--,8.0 - 19.8 V,282.6529166666666,-21.39136111111111,ZTF19adjkdiw,0.22617493615405457
V4361 Sgr,000-BCC-233,18 23 42.50 -18 07 14.8,Sgr,N,--,10.6 - <15.5 p,275.92708333333326,-18.12077777777778,,
V4362 Sgr,000-BCC-498,18 30 23.11 -17 11 56.9,Sgr,NB,--,8 - <15.0 V,277.5962916666666,-17.19913888888889,,
V4579 Sgr,000-BCX-115,18 03 37.90 -28 00 07.9,Sgr,NB+E,0.1535622,11.0 - 17.7 V B,270.90791666666667,-28.002194444444445,,
